bluehawkna.zip,Blue Hawk
bluehawk.zip,Blue Hawk
blueprntj.zip,Blue Print
blueprnt.zip,Blue Print
bjourneyh.zip,Blue's Journey / Raguy
bjourney.zip,Blue's Journey / Raguy
bwcasino.zip,Boardwalk Casino
boblbobl.zip,Bobble Bobble
bodyslam.zip,Body Slam
bogeyman.zip,Bogey Manor
boggy84b.zip,Boggy '84
boggy84.zip,Boggy '84
bombbee.zip,Bomb Bee
bombjackbl.zip,Bomb Jack
bombjack2.zip,Bomb Jack
bombjackt.zip,Bomb Jack
bombjack.zip,Bomb Jack
bombkick.zip,Bomb Kick
bombkicka.zip,Bomb Kick
bomber.zip,Bomber
bombrman.zip,Bomber Man
bbmanwj.zip,Bomber Man World
bbmanwja.zip,Bomber Man World
bbmanw.zip,Bomber Man World / New Dyna Blaster - Global Quest
bjtwinp.zip,Bombjack Twin
bjtwinpa.zip,Bombjack Twin
bjtwin.zip,Bombjack Twin
bjtwina.zip,Bombjack Twin
bnzabrosj.zip,Bonanza Bros
bnzabros.zip,Bonanza Bros
bcrusher.zip,Bone Crusher
bongo.zip,Bongo
bonusstage.zip,Bonus Stage
bonzeadvu.zip,Bonze Adventure
bonzeadvo.zip,Bonze Adventure
bonzeadvp.zip,Bonze Adventure
bonzeadvp2.zip,Bonze Adventure
bonzeadv.zip,Bonze Adventure
boobhack.zip,Booby Kids )
boogwinga.zip,Boogie Wings
boogwing.zip,Boogie Wings
boogwingu.zip,Boogie Wings
boomrang.zip,Boomer Rang'r / Genesis
boomranga.zip,Boomer Rang'r / Genesis
boonggab.zip,Boong-Ga Boong-Ga
borenchj.zip,Borench
borench.zip,Borench
borencha.zip,Borench
botanic.zip,Botanic
botanic2.zip,Botanic
botanicf.zip,Botanic
bottom9n.zip,Bottom of the Ninth
bottom9.zip,Bottom of the Ninth
cbdash.zip,Boulder Dash
bouldashj.zip,Boulder Dash / Boulder Dash Part 2
bouldash.zip,Boulder Dash / Boulder Dash Part 2
bballsa.zip,Bouncing Balls
bballs.zip,Bouncing Balls
bowlrama.zip,Bowl-O-Rama
boxyboya.zip,Boxy Boy
boxyboy.zip,Boxy Boy
bradley.zip,Bradley Trainer
brain.zip,Brain
brkthrut.zip,Break Thru
brkthruu.zip,Break Thru
brkthru.zip,Break Thru
breakrevbh.zip,Breakers Revenge
brkrevjq.zip,Breakers Revenge
